Address,Tokens,Target,Amount,Currency,Fiat USD,Cumulative USD,Time,TransactionID,Phase,Origin
0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b,1.1000000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,1000000000000000,ETH,0,0,1491183414,0xea2cdb4bda1d4d66b8fbc92ab7c0cca27b381a4a5b42fc625c5e892e3eaa53ee,0,0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b
0x0975d246203d480cda5415bce5aaf3c3aad00fb0,11.0000000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,10000000000000000,ETH,0,0,1491193412,0x7e8dd974b704c9e8331b23f250e931e92e2d8dea9ba9263497320aee177ace0a,0,0x0975d246203d480cda5415bce5aaf3c3aad00fb0
0x6ad0d39d8a071df9299dfdc66f2d807821054d08,1.1000000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,1000000000000000,ETH,0,0,1491193412,0xaa83d4bd1a877f0ff93ab65c1c25e0bcdc8f489cc73d0fe2652fcd235e5bf276,0,0x6ad0d39d8a071df9299dfdc66f2d807821054d08
0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b,1.1000000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,1000000000000000,ETH,0,0,1491199277,0xfca973d0b5400521db857bf7b2b0104f811676e80aedfa802c0546860bc38992,0,0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b
0x12cde299410fb99db16557d55bd86b3d089cd2aa,14300.000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,13000000000000000000,ETH,0,0,1491200391,0xce33d25c327e948b32d9a8a798ca1ef866b442a1879ad581fad6a3183162a213,0,0x12cde299410fb99db16557d55bd86b3d089cd2aa
0xed484b201101c30ad845c21cf373e22d3b4a1ea3,13310.000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,12100000000000000000,ETH,0,0,1491200521,0xff1032a2d179f3df41a2dcfeb548d35d89fbea9287671a124cbfbe433be56dc8,0,0xed484b201101c30ad845c21cf373e22d3b4a1ea3
0xd02f2c6f93b98dfb7db6c4c9f4f9486388e858c8,13211.000000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,12010000000000000000,ETH,0,0,1491200792,0xb58d00542694f075fcc6de629e9c13366579462b3f2627162a77f978330046b1,0,0xd02f2c6f93b98dfb7db6c4c9f4f9486388e858c8
0xa3a7bdd9fe8ae4d44a0e8212c3c1f4e6e9f0349d,5852.5198050000000000,0x29662b21a4307dec36260c8df30b001f1b7e43c9,5320472550000000000,ETH,0,0,1491200870,0x02f4ad6e0c2301588091f27015189110c3e8629a5fc99c46034158d84fd42e45,0,0xa3a7bdd9fe8ae4d44a0e8212c3c1f4e6e9f0349d
0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b,1.1000000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,1000000000000000,ETH,0,0,1491207329,0x3e7914c346caa3bd9e6b5344394c631771ac2c97a41c83ca6c4db5e59cde8334,0,0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b
0x0975d246203d480cda5415bce5aaf3c3aad00fb0,0.11000000000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,100000000000000,ETH,0,0,1491207329,0x815fe8e0b0fa57cb591a922143153ea9bcb297494053dbcb22fd96358fd41121,0,0x0975d246203d480cda5415bce5aaf3c3aad00fb0
0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b,1.1000000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,1000000000000000,ETH,0,0,1491207445,0x183d0c94f1c185d73b2e7c592b53d1d065c4cee501b81cccb319a8d0ef5c6170,0,0xbeb5a0a4f2eea4249f260255bb15e9d337dd393b
0x4c71a0a40338efa72818ca0dbc3b4191a07f7fbd,1.9800000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,1800000000000000,ETH,0,0,1491207612,0x95fa4a79cf4b07e6df2ea8802da848d3270e78a7f75898e8274a70a7d9a9c577,0,0x4c71a0a40338efa72818ca0dbc3b4191a07f7fbd
0xf76fe7115cb99a7d61611919bd1df0743281c91a,3.3852720000000000,0x568038032e8af5792689b6a9c339c2d34618101b,3077520000000000,ETH,0,0,1491209512,0xfd2f3cbe1ebbcde95fffbd92cbcf8229cf0fa8ea679c803511d2cd52b49756b0,0,0xf76fe7115cb99a7d61611919bd1df0743281c91a
0xf76fe7115cb99a7d61611919bd1df0743281c91a,1.1000000000000000,0x568038032e8af5792689b6a9c339c2d34618101b,1000000000000000,ETH,0,0,1491209926,0x39974f045328282ed8ce8b1b74f07e55149352b71b527fa585e5c48f3b44effa,0,0xf76fe7115cb99a7d61611919bd1df0743281c91a
0xbee7959125ae70e86b770eb492e41b61726e7867,16500.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,15000000000000000000,ETH,0,0,1491224843,0x8b0a22dbf9bf0dfc8452c3bbe6a0e935cf8655cf24293da6c17db2ef25928c4a,1,0xbee7959125ae70e86b770eb492e41b61726e7867
0x10db0c978668616249dba305c85166b4f081319e,55000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,50000000000000000000,ETH,0,0,1491224843,0xcd51dc822370fd74da86704aa4e90f7b60dc2a1451dca4ee0741aa3bc93c4a1c,1,0x10db0c978668616249dba305c85166b4f081319e
0x58c444cc2658bb485f7985d5889b1d5857614f31,1951389.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,1773990000000000000000,ETH,0,0,1491224866,0x9e26dda16e8700566c73b1ee10c9efccc42497f50ea0ab61f4d14388d5ed56e3,1,0x58c444cc2658bb485f7985d5889b1d5857614f31
0x4c2b15b775267e6b9a3ce38d3de7400d5e71890a,32999.457339200000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,29999506672000000000,ETH,0,0,1491224872,0x04dc8dba4b171b389785d92e52d15adac6ffcdf433fc2acdd807f5feb7fe490a,1,0x4c2b15b775267e6b9a3ce38d3de7400d5e71890a
0x46bd6fce4058f726982f83b03e053a50c044e5c0,82500.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,75000000000000000000,ETH,0,0,1491224872,0x0a588619d7b856339f1215048040e36e02d2abf858c540b6c40f520407f97e4e,1,0x46bd6fce4058f726982f83b03e053a50c044e5c0
0x1d02b9b4b505914a31add2bdcfa329fd505451d6,13200.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12000000000000000000,ETH,0,0,1491224872,0x0d044b01e45de6c1ff15f4bf777bae0089204bd1fed7ac08b7fb0c422f9f5d6e,1,0x1d02b9b4b505914a31add2bdcfa329fd505451d6
0x77bbef6f6f7a399c95ab9e8346f1573a68fe7a80,13255.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12050000000000000000,ETH,0,0,1491224872,0x0fc37d558ab5fe07821bf270a265855deb001bb9adfcef017edabb6fba76872d,1,0x77bbef6f6f7a399c95ab9e8346f1573a68fe7a80
0xa207f60e5e804f6943334e8ba21058b7c1bc6ed4,33000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,30000000000000000000,ETH,0,0,1491224872,0x1082c434170d7082f6f7a9698f56222a82b38c362f2aea5a00381e010c4c5247,1,0xa207f60e5e804f6943334e8ba21058b7c1bc6ed4
0x02f1d4b533b347bcbc498c83e7a2488810457b9b,354200.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,322000000000000000000,ETH,0,0,1491224872,0x17383d197b05c3ba23f50935714bfc11c5191173a5b439bc1adcfb9b78bc4e51,1,0x02f1d4b533b347bcbc498c83e7a2488810457b9b
0xed6d42dd1d479e535f4c39ad7430d5079e5eff5a,88000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,80000000000000000000,ETH,0,0,1491224872,0x232caaf6012b28298b8d567aee2635fd36f324de55aa9e8a06fc005637f83989,1,0xed6d42dd1d479e535f4c39ad7430d5079e5eff5a
0x61d6050de9105ea6852030546e5fee1b0df2cf6c,16493.859998000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,14994418180000000000,ETH,0,0,1491224872,0x38603dfaaba9dbb03c8a666dbaa306f99d948d0fe364ca72e32995aba479f867,1,0x61d6050de9105ea6852030546e5fee1b0df2cf6c
0xc30424fd289268f40274ca593224de49c0c66ce3,27370.200000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,24882000000000000000,ETH,0,0,1491224872,0x40edf0bcfcf1aed1626dfc996d3d2f64eb0499b2744ce103eb303d0219e1c674,1,0xc30424fd289268f40274ca593224de49c0c66ce3
0x3fc90b9ec3deb1712aed78fa29ef304566ad42ec,14300.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,13000000000000000000,ETH,0,0,1491224872,0x49c919df966d23a43b8e8aa6ca45c88527f61b6891856102327d181425a157b8,1,0x3fc90b9ec3deb1712aed78fa29ef304566ad42ec
0xcac0a557155e682d5fd20cb781f1b2f1da97d613,8797.1513850000011000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,7997410350000001000,ETH,0,0,1491224872,0x4b27ecf3e91232664b82304ca9febc12afc17424e90f449df5930cb53ec26b7b,1,0xcac0a557155e682d5fd20cb781f1b2f1da97d613
0x6d82a61d8642526cdb2191895759eb7d83aaf70f,13202.848615000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12002589650000000000,ETH,0,0,1491224872,0x5724730d3927c26888f63c35f4b18403673777049fc059732870ce45418a02cb,1,0x6d82a61d8642526cdb2191895759eb7d83aaf70f
0xbedcce138579f65daa25b11703c3db9000715df4,22000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,20000000000000000000,ETH,0,0,1491224872,0x6407793b20acfe25559061f28f5360c2a942fa6c95a0c26498f85a6b15c4c0d7,1,0xbedcce138579f65daa25b11703c3db9000715df4
0x82ef3952646c47b35fb2167e4e5aeb411d5c82bb,48393.381467200000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,43993983152000000000,ETH,0,0,1491224872,0x67245331cb9bf915435dd3012a02a4181eb987bbf8c5155261c69cfa70b7f0fb,1,0x82ef3952646c47b35fb2167e4e5aeb411d5c82bb
0x005dd1c702c3fcbca5f63b3ab931b15e03b3c9ed,22000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,20000000000000000000,ETH,0,0,1491224872,0x7a1a39027f935124e283eba63b0c11678597b59f260fba154f322071e7e45247,1,0x005dd1c702c3fcbca5f63b3ab931b15e03b3c9ed
0x78007c192b4d07078eaa5839ae5faa6cc4508997,13203.300000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12003000000000000000,ETH,0,0,1491224872,0x817940f3005c3547a2e86ef25d3f1489fef8ed4546c04ac3cee722ed44d2e1e2,1,0x78007c192b4d07078eaa5839ae5faa6cc4508997
0x3778596530cef02ce972c2d986e8285ce8810372,220000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,200000000000000000000,ETH,0,0,1491224872,0x84fa944641855f279388175c5ee37a3dabc57d328ba5dc04520205efa639c8d6,1,0x3778596530cef02ce972c2d986e8285ce8810372
0x4712bbb97a62fab8854021b25f06dd319e72ffe2,22000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,20000000000000000000,ETH,0,0,1491224872,0x87a1fed09210d05224e0ae525c4177ec61973ba59b80e1a4b6794fb4c37b41cd,1,0x4712bbb97a62fab8854021b25f06dd319e72ffe2
0x0bd0660d7d61029dc333f56f1cfe35cccb1ccc74,22000.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,20000000000000000000,ETH,0,0,1491224872,0xb54201ef9f3a2834e1df0d0a784f62575f8884ae1550c8b8c8ecbc268779152a,1,0x0bd0660d7d61029dc333f56f1cfe35cccb1ccc74
0x628333b31236dcbc8a3ee055cf5ba9544d982ad6,13737.897998000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,12488998180000000000,ETH,0,0,1491224872,0xda506cb21368b57eba63847690d5b1fad2105b3232d790018707275e9648e1f5,1,0x628333b31236dcbc8a3ee055cf5ba9544d982ad6
0x34cb52c6d97521e9b51b05c2860c8a448ffcef5c,27500.000000000000,0x6cc2d616e56e155d8a06e65542fdb9bd2d7f3c2e,25000000000000000000,ETH,0,0,1491224872,0xe642617c7ce91d0526a2bc1d45200db9d7044b73f3508cea203ebdfd35b1a44f,1,0x34cb52c6d97521e9b51b05c2860c8a448ffcef5c
